Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,MA5,MA10,MA5_Capacity,BR5,BR10,High-Low,Open-Close,EMA5,EMA10,K,D,MACD,MACD_signal,MACD_hist,RSI14,STD20,ADX,RSI,DJI,NASDAQ,SOX,SPX,ADR,twclose,twopen,Movement,rate
2014-04-18,32921335,4023630870,122.5,123.0,121.0,123.0,3.0,9515,121.4,120.2,36173127.2,1.3179571663920877,2.3294509151414284,2.0,-0.5,121.331504567622,120.38460562264228,82.21288515406162,85.59634380067816,2.474035024181404,2.4140379748200256,0.0599970493613786,68.11588594848232,2.984168754926829,27.24538959515009,68.11588594848232,16408.54,4095.52,578.4,1864.8,20.72,8966.66,8961.52,1,-0.406504065040647
2014-04-21,24162522,2938646120,122.0,122.0,121.0,121.5,-1.5,5868,121.6,120.6,34795024.8,-0.0822368421052584,0.7462686567164226,1.0,0.5,121.38766971174802,120.58740460034367,80.4029304029304,81.60956690368454,2.4093660341640515,2.413103586688831,-0.0037375525247793,62.11265418879544,2.7313964039985352,27.355533585942577,62.11265418879544,16449.25,4121.55,583.5,1871.9,20.56,8951.19,8956.22,0,0.4115226337448652
2014-04-22,27034052,3282075077,121.0,122.5,120.5,121.5,0.0,5886,121.4,120.85,34322412.4,0.082372322899501,0.5378568473314073,2.0,-0.5,121.42511314116535,120.75333103664482,84.6153846153846,82.41040005745887,2.331242283761128,2.39673132610329,-0.0654890423421621,62.11265418879544,2.3642067769543846,27.45781014882131,62.112654188795446,16514.37,4161.46,589.1,1879.5,20.56,8974.71,9009.59,1,-0.4115226337448541
2014-04-23,34358023,4181126643,123.0,123.0,120.5,121.0,-0.5,8145,121.4,121.05,30978886.6,-0.3294892915980277,-0.0413052457662099,2.5,2.0,121.28340876077692,120.79817993907302,74.35897435897435,79.79242979242977,2.20358131368748,2.358101323620128,-0.1545200099326487,60.06614101925084,1.975341409528217,27.75747802569936,60.06614101925084,16501.65,4126.97,588.4,1875.4,20.41,8956.92,8968.82,0,1.6528925619834656
2014-04-24,25524592,3080805399,121.0,121.0,120.0,121.0,0.0,6289,121.6,121.2,28800104.8,-0.4934210526315743,-0.1650165016501673,1.0,0.0,121.18893917385128,120.8348744956052,71.7948717948718,76.9230769230769,2.078449997376936,2.30217105837149,-0.2237210609945541,60.06614101925084,1.7479311078761233,27.6451293650458,60.06614101925084,16501.65,4148.34,591.6,1878.6,20.56,8945.45,8945.81,1,0.0
2014-04-25,49438252,5889185811,121.0,121.0,118.0,118.5,-2.5,11457,120.7,121.05,32103488.2,-1.822700911350458,-2.106567534076825,3.0,2.5,120.29262611590086,120.4103518600406,54.48717948717948,66.88034188034187,1.7572964020068298,2.193196127098558,-0.435899725091728,50.43075167205496,1.534472307714992,26.17283610497821,50.43075167205495,16361.46,4075.56,572.2,1863.4,19.91,8774.12,8680.14,0,2.1097046413502074
2014-04-28,28068430,3344699670,118.5,120.0,117.5,119.0,0.5,7030,120.2,120.9,32884669.8,-0.9983361064891872,-1.5715467328370605,2.5,-0.5,119.86175074393392,120.15392424912412,40.501165501165495,55.59440559440559,1.5255402073207731,2.0596649431430007,-0.5341247358222274,52.08619706052378,1.4409426738978697,24.50556982716484,52.08619706052377,16448.74,4074.4,568.5,1869.4,20.3,8809.71,8845.6,1,-0.4201680672268892
2014-04-29,21811790,2618945800,120.5,121.0,119.0,120.5,1.5,4991,120.0,120.7,31840217.4,0.4166666666666667,-0.1657000828500437,2.0,0.0,120.07450049595596,120.21684711291974,35.6060606060606,43.53146853146852,1.446237887184168,1.9369795319512344,-0.4907416447670663,56.75246644910282,1.396424004371963,23.4985113370378,56.75246644910282,16535.37,4103.54,573.0,1878.3,20.1,8872.11,8885.7,1,0.0
2014-04-30,44124133,5237519729,120.0,120.5,117.0,118.5,-2.0,9169,119.5,120.45,33793439.4,-0.8368200836820083,-1.6189290161892924,3.5,1.5,119.549666997304,119.90469309238888,35.6060606060606,37.23776223776223,1.208080936795838,1.791199812920155,-0.5831188761243169,49.78983690278019,1.438200630168761,22.210570369232173,49.78983690278017,16580.84,4114.56,576.0,1884.0,20.1,8791.44,8846.86,0,1.265822784810133
2014-05-02,45030119,5324516642,119.0,119.5,117.0,118.0,-0.5,9573,118.9,120.25,37694544.8,-0.7569386038688021,-1.8711018711018712,2.5,1.0,119.033111331536,119.55838525740909,32.070707070707066,34.427609427609426,0.9678373894910806,1.6265273282343402,-0.6586899387432597,48.197844977453045,1.5131006854128377,21.01462518484123,48.19784497745303,16512.89,4123.9,575.5,1881.1,19.62,8867.32,8895.87,0,0.8474576271186418
2014-05-05,28887828,3374584476,117.5,118.0,116.0,117.0,-1.0,8961,118.6,119.65,33584460.0,-1.34907251264755,-2.214793146677815,2.0,0.5,118.35540755435734,119.0932243015165,18.65079365079365,28.77585377585377,0.6888108223492537,1.438984027057323,-0.7501732047080694,45.0924378102361,1.6244432244495273,20.42375096074986,45.09243781023608,16530.55,4138.06,575.9,1884.7,19.66,8870.43,8888.45,0,0.4273504273504258
2014-05-06,27525257,3247099826,117.0,119.0,116.5,118.0,1.0,5217,118.4,119.3,33475825.4,-0.3378378378378426,-1.0896898575020932,2.5,-1.0,118.23693836957156,118.89445624669531,19.84126984126984,23.52092352092352,0.5421226478381698,1.2596117512134926,-0.7174891033753228,48.65508681789336,1.588610780056777,19.25874484829285,48.65508681789335,16401.02,4080.76,573.5,1867.7,20.0,8912.39,8903.72,1,-0.8474576271186418
2014-05-07,33276563,3931216686,118.0,119.0,117.5,118.5,0.5,6945,118.0,119.0,35768780.0,0.423728813559322,-0.4201680672268907,1.5,-0.5,118.32462557971438,118.82273692911434,26.19047619047619,21.56084656084656,0.4609040193996918,1.0998702048507325,-0.6389661854510407,50.38840677525003,1.608161748865023,18.1769534581542,50.38840677525003,16518.54,4067.67,574.0,1878.2,20.33,8893.22,8925.21,1,-0.421940928270037
2014-05-08,30096125,3594265403,119.5,120.0,119.0,119.5,1.0,5599,118.2,118.85,32963178.4,1.099830795262265,0.5469078670593233,1.0,0.0,118.71641705314292,118.94587566927537,38.095238095238095,28.04232804232804,0.4717908031655611,0.9742543245136982,-0.5024635213481371,53.75117327571503,1.5968719422628372,17.191049103827687,53.75117327571503,16550.97,4051.5,577.8,1875.6,20.51,8930.9,8943.14,1,0.0
